2018-06-14 06:05:03 status half-installed perl-modules-5.22:all 5.22.1-9ubuntu0.3
2018-06-14 06:05:07 status half-installed perl-modules-5.22:all 5.22.1-9ubuntu0.3
2018-06-14 06:05:07 status unpacked perl-modules-5.22:all 5.22.1-9ubuntu0.5
2018-06-14 06:05:07 status unpacked perl-modules-5.22:all 5.22.1-9ubuntu0.5
2018-06-14 06:05:07 upgrade gpgv:armhf 1.4.20-1ubuntu3.1 1.4.20-1ubuntu3.2
2018-06-14 06:05:07 status half-configured gpgv:armhf 1.4.20-1ubuntu3.1
2018-06-14 06:05:07 status unpacked gpgv:armhf 1.4.20-1ubuntu3.1
2018-06-14 06:05:07 status half-installed gpgv:armhf 1.4.20-1ubuntu3.1
2018-06-14 06:05:07 status triggers-pending man-db:armhf 2.7.5-1
2018-06-14 06:05:07 status half-installed gpgv:armhf 1.4.20-1ubuntu3.1
2018-06-14 06:05:08 status unpacked gpgv:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:08 status unpacked gpgv:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:08 trigproc man-db:armhf 2.7.5-1 <none>
2018-06-14 06:05:08 status half-configured man-db:armhf 2.7.5-1
2018-06-14 06:05:08 status installed man-db:armhf 2.7.5-1
2018-06-14 06:05:08 startup packages configure
2018-06-14 06:05:08 configure gpgv:armhf 1.4.20-1ubuntu3.2 <none>
2018-06-14 06:05:08 status unpacked gpgv:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:08 status half-configured gpgv:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:08 status installed gpgv:armhf 1.4.20-1ubuntu3.2
2018-06-14 06:05:09 startup archives unpack
2018-06-14 06:05:09 upgrade gnupg:armhf 1.4.20-1ubuntu3.1 1.4.20-1ubuntu3.2
2018-06-14 06:05:09 status half-configured gnupg:armhf 1.4.20-1ubuntu3.1
2018-06-14 06:05:09 status unpacked gnupg:armhf 1.4.20-1ubuntu3.1
2018-06-14 06:05:09 status half-installed gnupg:armhf 1.4.20-1ubuntu3.1
